表頭=M|載具名稱|載具號碼|發票日期|商店統編|商店店名|發票號碼|總金額|發票狀態|
明細=D|發票號碼|小計|品項名稱|
M|摩斯卡|04118FB2A15B80|20240502|53084470|安心食品服務股份有限公司瑞光分公司|AY73001756|169|開立|
D|AY73001756|0|22oz摩斯蒟蒻冰紅茶|
D|AY73001756|99|T56雞塊夯地瓜|
D|AY73001756|70|摩斯鱈魚堡|
M|手機條碼|/FBY9RLQ|20240503|25553470|蘿絲瑪莉義麵坊|BH79636886|930|開立|
D|BH79636886|930|餐費|
M|手機條碼|/FBY9RLQ|20240506|88268811|躺著喝股份有限公司江南店|BL91522482|75|開立|
D|BL91522482|75|棉被午茉綠|
M|手機條碼|/FBY9RLQ|20240507|88313549|萊爾富國際股份有限公司第四四七三營業處|AM08660132|86|開立|
D|AM08660132|95|香蔥腿排蛋白餐|
D|AM08660132|0|29473809|
D|AM08660132|-9|促銷折扣|
M|手機條碼|/FBY9RLQ|20240507|76440648|哈古西式餐館|BJ91553306|193|開立|
D|BJ91553306|219|純手工爐烤蔬菜雞腿捲|
D|BJ91553306|-26|折扣金額|
M|手機條碼|/FBY9RLQ|20240507|93159953|發發牧場股份有限公司發發港墘牧場營業所|BN92880344|85|開立|
D|BN92880344|85|鳳梨百香優格|
M|手機條碼|/FBY9RLQ|20240508|25523146|全家便利商店股份有限公司台大二活門市部|AJ02287584|79|開立|
D|AJ02287584|59|星—大口義式香草烤雞飯糰|
D|AJ02287584|45|中熱拿鐵|
D|AJ02287584|-25|鮮食促|
M|摩斯卡|04118FB2A15B80|20240508|88352985|安心食品服務股份有限公司台大小福門市部|AY73996894|104|開立|
D|AY73996894|40|冰紅茶-大(新)|
D|AY73996894|64|18海洋方塊64|
M|手機條碼|/FBY9RLQ|20240509|27745186|悠旅生活事業股份有限公司台北市第五十八分公司|AX84541313|247|開立|
D|AX84541313|165|摩卡可可碎片大|
D|AX84541313|-83|MOMSCHP|
D|AX84541313|165|摩卡可可碎片大|
M|手機條碼|/FBY9RLQ|20240510|90671079|全家便利商店股份有限公司台北市第七四五分公司|AH72312591|32|開立|
D|AH72312591|45|鐵觀音黑岩泡芙|
D|AH72312591|-13|友善食光折扣|
